date,value,indicator_code,indicator_name,frequency
2014-01-01,17197.738,GDP,Gross Domestic Product,q
2014-04-01,17518.508,GDP,Gross Domestic Product,q
2014-07-01,17804.228,GDP,Gross Domestic Product,q
2014-10-01,17912.079,GDP,Gross Domestic Product,q
2015-01-01,18063.529,GDP,Gross Domestic Product,q
2015-04-01,18279.784,GDP,Gross Domestic Product,q
2015-07-01,18401.626,GDP,Gross Domestic Product,q
2015-10-01,18435.137,GDP,Gross Domestic Product,q
2016-01-01,18525.933,GDP,Gross Domestic Product,q
2016-04-01,18711.702,GDP,Gross Domestic Product,q
2016-07-01,18892.639,GDP,Gross Domestic Product,q
2016-10-01,19089.379,GDP,Gross Domestic Product,q
2017-01-01,19280.084,GDP,Gross Domestic Product,q
2017-04-01,19438.643,GDP,Gross Domestic Product,q
2017-07-01,19692.595,GDP,Gross Domestic Product,q
2017-10-01,20037.088,GDP,Gross Domestic Product,q
2018-01-01,20328.553,GDP,Gross Domestic Product,q
2018-04-01,20580.912,GDP,Gross Domestic Product,q
2018-07-01,20798.73,GDP,Gross Domestic Product,q
2018-10-01,20917.867,GDP,Gross Domestic Product,q
2019-01-01,21111.6,GDP,Gross Domestic Product,q
2019-04-01,21397.938,GDP,Gross Domestic Product,q
2019-07-01,21717.171,GDP,Gross Domestic Product,q
2019-10-01,21933.217,GDP,Gross Domestic Product,q
2020-01-01,21751.238,GDP,Gross Domestic Product,q
2020-04-01,19958.291,GDP,Gross Domestic Product,q
2020-07-01,21704.437,GDP,Gross Domestic Product,q
2020-10-01,22087.16,GDP,Gross Domestic Product,q
2021-01-01,22680.693,GDP,Gross Domestic Product,q
2021-04-01,23425.91,GDP,Gross Domestic Product,q
2021-07-01,23982.379,GDP,Gross Domestic Product,q
2021-10-01,24813.6,GDP,Gross Domestic Product,q
2022-01-01,25250.347,GDP,Gross Domestic Product,q
2022-04-01,25861.292,GDP,Gross Domestic Product,q
2022-07-01,26336.304,GDP,Gross Domestic Product,q
2022-10-01,26770.514,GDP,Gross Domestic Product,q
2023-01-01,27216.445,GDP,Gross Domestic Product,q
2023-04-01,27530.055,GDP,Gross Domestic Product,q
2023-07-01,28074.846,GDP,Gross Domestic Product,q
2023-10-01,28424.722,GDP,Gross Domestic Product,q
2024-01-01,28708.161,GDP,Gross Domestic Product,q
2024-04-01,29147.044,GDP,Gross Domestic Product,q
2024-07-01,29511.664,GDP,Gross Domestic Product,q
2024-10-01,29825.182,GDP,Gross Domestic Product,q
2025-01-01,30042.113,GDP,Gross Domestic Product,q
2025-04-01,30485.729,GDP,Gross Domestic Product,q
2025-07-01,31095.089,GDP,Gross Domestic Product,q
2014-01-01,17953.974,GDPC1,Real Gross Domestic Product,q
2014-04-01,18185.911,GDPC1,Real Gross Domestic Product,q
2014-07-01,18406.941,GDPC1,Real Gross Domestic Product,q
2014-10-01,18500.031,GDPC1,Real Gross Domestic Product,q
2015-01-01,18666.621,GDPC1,Real Gross Domestic Product,q
2015-04-01,18782.243,GDPC1,Real Gross Domestic Product,q
2015-07-01,18857.418,GDPC1,Real Gross Domestic Product,q
2015-10-01,18892.206,GDPC1,Real Gross Domestic Product,q
2016-01-01,19001.69,GDPC1,Real Gross Domestic Product,q
2016-04-01,19062.709,GDPC1,Real Gross Domestic Product,q
2016-07-01,19197.938,GDPC1,Real Gross Domestic Product,q
2016-10-01,19304.352,GDPC1,Real Gross Domestic Product,q
2017-01-01,19398.343,GDPC1,Real Gross Domestic Product,q
2017-04-01,19506.949,GDPC1,Real Gross Domestic Product,q
2017-07-01,19660.766,GDPC1,Real Gross Domestic Product,q
2017-10-01,19882.352,GDPC1,Real Gross Domestic Product,q
2018-01-01,20044.077,GDPC1,Real Gross Domestic Product,q
2018-04-01,20150.476,GDPC1,Real Gross Domestic Product,q
2018-07-01,20276.154,GDPC1,Real Gross Domestic Product,q
2018-10-01,20304.874,GDPC1,Real Gross Domestic Product,q
2019-01-01,20431.641,GDPC1,Real Gross Domestic Product,q
2019-04-01,20602.275,GDPC1,Real Gross Domestic Product,q
2019-07-01,20843.322,GDPC1,Real Gross Domestic Product,q
2019-10-01,20985.448,GDPC1,Real Gross Domestic Product,q
2020-01-01,20709.212,GDPC1,Real Gross Domestic Product,q
2020-04-01,19077.992,GDPC1,Real Gross Domestic Product,q
2020-07-01,20558.879,GDPC1,Real Gross Domestic Product,q
2020-10-01,20791.917,GDPC1,Real Gross Domestic Product,q
2021-01-01,21082.134,GDPC1,Real Gross Domestic Product,q
2021-04-01,21440.929,GDPC1,Real Gross Domestic Product,q
2021-07-01,21617.828,GDPC1,Real Gross Domestic Product,q
2021-10-01,21988.737,GDPC1,Real Gross Domestic Product,q
2022-01-01,21932.71,GDPC1,Real Gross Domestic Product,q
2022-04-01,21967.045,GDPC1,Real Gross Domestic Product,q
2022-07-01,22125.625,GDPC1,Real Gross Domestic Product,q
2022-10-01,22278.345,GDPC1,Real Gross Domestic Product,q
2023-01-01,22439.607,GDPC1,Real Gross Domestic Product,q
2023-04-01,22580.499,GDPC1,Real Gross Domestic Product,q
2023-07-01,22840.989,GDPC1,Real Gross Domestic Product,q
2023-10-01,23033.78,GDPC1,Real Gross Domestic Product,q
2024-01-01,23082.119,GDPC1,Real Gross Domestic Product,q
2024-04-01,23286.508,GDPC1,Real Gross Domestic Product,q
2024-07-01,23478.57,GDPC1,Real Gross Domestic Product,q
2024-10-01,23586.542,GDPC1,Real Gross Domestic Product,q
2025-01-01,23548.21,GDPC1,Real Gross Domestic Product,q
2025-04-01,23770.976,GDPC1,Real Gross Domestic Product,q
2025-07-01,24024.957,GDPC1,Real Gross Domestic Product,q
2014-01-01,235.288,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-02-01,235.547,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-03-01,236.028,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-04-01,236.468,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-05-01,236.918,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-06-01,237.231,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-07-01,237.498,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-08-01,237.46,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-09-01,237.477,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-10-01,237.43,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-11-01,236.983,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2014-12-01,236.252,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-01-01,234.747,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
2015-02-01,235.342,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items,m
